순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
74,006280,녹십자,"283,500","-17,500","-5.8","725,125","208,243,513,500","291,500","305,500","275,500","3,313,133,523,000","0.18","11,686,538",,,
75,010140,삼성중공업,"5,100","-330","-6.1","6,357,409","33,099,496,060","5,400","5,410","5,100","3,213,000,000,000","0.17","630,000,000",,,
76,071050,한국금융지주,"57,600","-3,100","-5.1","648,240","37,907,753,700","60,100","60,700","57,300","3,209,817,139,200","0.17","55,725,992",,,
77,005830,DB손해보험,"45,100","-2,950","-6.1","270,410","12,373,998,000","47,250","47,500","45,000","3,193,080,000,000","0.17","70,800,000",,,
78,004990,롯데지주,"30,400","-850","-2.7","280,615","8,610,163,050","30,900","31,100","30,400","3,189,240,804,800","0.17","104,909,237",,,
79,247540,에코프로비엠,"149,600","-5,400","-3.5","437,824","66,501,182,000","154,900","157,400","148,200","3,136,239,233,600","0.17","20,964,166",,,
80,011780,금호석유,"102,000","-2,000","-1.9","225,509","23,379,930,500","104,000","108,000","101,000","3,107,704,482,000","0.17","30,467,691",,,
81,078930,GS,"33,000","-1,850","-5.3","537,984","18,032,181,150","34,450","34,550","33,000","3,066,207,474,000","0.17","92,915,378",,,
82,003490,대한항공,"17,550","-850","-4.6","2,203,471","39,213,950,000","18,200","18,250","17,550","3,057,380,463,150","0.17","174,209,713",,,
83,095700,제넥신,"127,500","700","0.6","1,092,526","138,023,900,000","124,400","129,300","123,100","3,044,125,995,000","0.16","23,875,498",,,
84,011790,SKC,"80,200","-4,200","-5.0","472,350","38,618,744,000","83,700","85,500","79,900","3,010,271,311,000","0.16","37,534,555",,,
